player,age,g,gs,mp,fg_perc,3p_perc,2p_perc,efg_perc,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,Score,Ranking
Nikola Vu?evi?,1.741839762611276,22.676557863501483,73.53115727002967,2.1246290801186944,0.8011869436201781,0.4629080118694362,0.7922848664688428,0.7240356083086054,0.7181008902077152,0.8961424332344213,1.9554896142433233,1.9287833827893175,1.0237388724035608,0.4094955489614243,0.7833827893175074,0.6735905044510386,0.5786350148367952,52.57420000000002,1
Domantas Sabonis,0.18100890207715134,20.172106824925816,70.31454005934718,2.2373887240356085,0.9258160237388724,0.6528189910979229,0.9020771513353115,0.9228486646884273,0.32047477744807124,0.9643916913946587,0.9851632047477745,1.0504451038575668,0.9465875370919882,0.5281899109792285,0.6083086053412463,0.9080118694362018,0.9792284866468842,52.240199999999994,2
Julius Randle,1.6587537091988132,29.916913946587538,82.65875370919882,10.985163204747774,0.49258160237388726,0.42729970326409494,0.5727002967359051,0.42136498516320475,0.3798219584569733,0.8219584569732937,2.0682492581602374,3.2462908011869436,0.9258160237388724,0.26409495548961426,0.3264094955489614,0.8902077151335311,0.8961424332344213,50.1696,3
Mikal Bridges,1.4391691394658754,45.37685459940653,98.62017804154303,14.56379821958457,0.543026706231454,0.712166172106825,0.32047477744807124,0.4124629080118694,0.9347181008902077,0.56973293768546,0.4807121661721068,0.47477744807121663,0.6261127596439169,0.7952522255192879,0.7833827893175074,0.5845697329376854,0.3857566765578635,49.55880000000001,4
Brook Lopez,14.626112759643917,39.62017804154303,93.46587537091987,10.014836795252226,0.8249258160237388,0.6617210682492581,0.887240356083086,0.8635014836795252,0.5133531157270029,1.9228486646884273,3.2106824925816024,5.261127596439169,-0.04154302670623145,0.1543026706231454,4.881305637982196,0.5756676557863502,1.0979228486646884,49.006400000000006,5
Jonas Valan?i?nas,8.949554896142434,42.96439169139466,96.29673590504451,3.908011869436202,0.8545994065281899,0.516320474777448,0.7210682492581603,0.6913946587537092,0.7151335311572701,4.664688427299703,9.00593471810089,11.163204747774481,0.5964391691394659,-0.05341246290801187,1.5252225519287834,2.6468842729970326,3.6112759643916914,48.7938,6
Evan Mobley,-2.1572700296735907,42.611275964391695,95.82195845697329,16.486646884272997,0.8724035608308606,0.05934718100890208,0.8011869436201781,0.6498516320474778,0.142433234421365,3.4332344213649852,7.210682492581602,9.11572700296736,1.489614243323442,0.4836795252225519,3.477744807121662,1.7596439169139466,2.4807121661721068,48.740999999999985,7
Nikola Joki?,3.6112759643916914,24.23145400593472,76.82492581602374,14.84272997032641,0.9465875370919882,0.7626112759643917,0.9703264094955489,0.9643916913946587,0.6884272997032641,2.9525222551928785,10.216617210682493,12.762611275964392,12.231454005934719,2.1275964391691393,1.2729970326409497,5.189910979228487,1.5816023738872405,48.67439999999999,8
Harrison Barnes,7.397626112759644,48.510385756676556,100.75964391691394,12.3946587537092,0.5727002967359051,0.7270029673590505,0.5905044510385756,0.5667655786350149,0.9317507418397626,0.6735905044510386,0.4332344213649852,0.9347181008902077,-1.1305637982195846,0.3887240356083086,-0.5845697329376854,-0.4362017804154303,-1.4718100890207715,48.60060000000001,9
Spencer Dinwiddie,5.017804154302671,41.347181008902076,94.32640949554896,15.379821958456974,0.2344213649851632,0.6053412462908012,0.18397626112759644,0.314540059347181,0.5905044510385756,-1.5578635014836795,-0.8902077151335311,-1.8160237388724036,6.385756676557864,0.14836795252225518,-0.29376854599406527,0.2195845697329377,0.35311572700296734,48.56819999999999,10
