player,1st_srv_perc,1st_srv_pts_perc,2nd_srv_perc,srv_pts_won_perc,bp_svd_perc,srv_gm_won_perc,1st_rtn_pts_perc,2nd_rtn_pts_perc,rtn_gm_won_perc,bp_conv_perc,rtn_pts_won_perc,aces_per_match,df_per_match,Score,Ranking
Elena Rybakina,0.09,0.97,0.81,0.95,0.97,0.96,0.27,0.55,0.24,0.17,0.31,36.4,2.8,3.4805999999999995,1
Caroline Garcia,0.32,0.98,0.91,0.96,1.1,1.43,0.05,0.01,0.0,0.01,0.0,41.85,2.94,3.1199624999999997,2
Emina Bektas,0.77,0.93,0.93,0.97,0.17,0.95,-0.01,0.03,-0.1,0.35,0.0,29.12,4.35,3.0900000000000007,3
Taylor Townsend,0.79,0.76,0.98,0.94,0.94,0.93,0.12,0.18,0.1,0.07,0.1,15.22,14.81,2.666,4
Veronika Kudermetova,0.32,0.73,0.67,0.74,0.41,0.7,0.6,0.13,0.37,0.33,0.35,24.57,12.14,2.4155857142857142,5
Qinwen Zheng,-0.26,0.98,0.4,0.82,0.85,0.87,0.25,0.63,0.36,0.47,0.34,55.99,0.44,2.3882814814814814,6
Madison Keys,0.82,0.78,0.7,0.9,0.93,0.91,0.66,0.77,0.8,0.47,0.76,13.08,21.94,2.1667333333333336,7
Karolina Pliskova,0.78,0.99,0.02,0.67,0.62,0.85,0.11,0.44,0.31,0.7,0.23,59.0,-0.21,2.0983333333333336,8
Aryna Sabalenka,0.36,0.96,0.88,0.98,0.96,0.98,0.65,0.7,0.66,0.25,0.76,48.4,0.61,2.08071884057971,9
Petra Martic,0.15,0.86,0.79,0.86,0.47,0.93,0.07,0.11,0.03,0.11,0.03,38.72,9.39,1.7770666666666664,10
Liudmila Samsonova,-0.07,1.01,0.64,0.88,0.68,1.1,0.37,0.22,0.24,0.3,0.3,57.32,-0.45,1.7508482758620696,11
Karolina Muchova,0.92,1.04,1.88,1.33,1.66,2.14,1.18,0.17,1.02,1.03,0.78,16.61,21.6,1.7250122448979595,12
Yue Yuan,0.0,0.71,0.92,0.67,0.64,0.7,1.05,0.22,0.53,0.28,0.67,8.98,31.15,1.7156352941176471,13
Rebeka Masarova,0.75,0.52,0.39,0.79,0.67,0.59,-0.23,-0.86,-1.35,-1.34,-0.68,37.46,4.89,1.7115333333333334,14
Ana Bogdan,0.77,0.37,1.02,0.52,0.14,0.51,0.64,0.85,0.6,1.02,0.64,6.56,32.78,1.6416,15
Tatjana Maria,-0.74,0.44,0.16,0.19,-0.74,-0.12,0.71,0.12,0.5,0.77,0.46,21.71,14.2,1.6360333333333332,16
Mayar Sherif,0.96,0.11,0.89,0.49,0.56,0.47,0.15,0.02,0.03,0.02,0.03,1.86,38.36,1.5833142857142857,17
Magdalena Frech,0.95,0.42,0.83,0.55,0.26,0.64,0.29,0.87,0.42,0.5,0.36,5.94,31.38,1.5148000000000001,18
Coco Gauff,-0.07,0.75,0.71,0.78,0.65,0.76,0.84,0.69,0.83,0.75,0.84,23.88,8.4,1.5088060606060605,19
Magda Linette,1.39,0.45,0.91,0.66,0.11,0.83,0.4,0.25,0.34,0.16,0.26,1.23,36.5,1.4337076923076926,20
Elina Svitolina,0.29,0.48,0.25,0.56,0.37,0.33,0.76,0.47,0.51,0.88,0.68,18.34,13.38,1.4254307692307693,21
Maria Sakkari,0.29,0.86,0.84,0.79,1.26,1.46,0.46,0.42,0.35,0.2,0.46,21.79,9.85,1.3762222222222227,22
Jaqueline Cristian,0.83,0.14,0.08,0.05,-0.5,-0.28,1.07,0.03,0.2,0.89,0.28,10.92,21.63,1.360514285714286,23
Ons Jabeur,-1.17,0.71,0.2,0.39,0.16,0.13,0.87,0.5,0.8,0.67,0.86,15.56,12.29,1.35571320754717,24
Iga Swiatek,0.74,0.91,0.99,0.99,0.27,0.97,0.94,0.99,0.97,0.98,0.97,-10.12,40.7,1.315587341772152,25
Jessica Pegula,0.21,0.66,1.07,0.83,0.62,1.11,0.96,0.98,1.54,1.01,0.98,1.65,26.35,1.2107999999999999,26
Sorana Cirstea,0.42,0.52,0.58,0.59,0.64,0.56,0.25,0.22,0.12,0.22,0.2,4.44,24.55,1.1932666666666671,27
Jodie Burrage,0.54,0.29,0.29,0.16,0.17,0.17,0.46,0.15,0.54,1.8,0.17,23.05,6.81,1.1557555555555554,28
Mirra Andreeva,0.14,0.44,0.94,0.74,0.78,0.77,0.45,-0.06,0.47,0.54,0.27,-8.47,37.43,1.1486727272727277,29
Greet Minnen,0.36,0.42,0.42,0.35,0.92,0.52,0.1,0.87,0.44,0.09,0.46,9.75,18.62,1.0346909090909095,30
Marie Bouzkova,1.92,0.49,1.25,0.87,0.96,1.14,0.97,0.7,1.32,1.27,0.86,-5.96,35.21,0.9967333333333339,31
Caroline Dolehide,0.97,0.46,-0.55,0.56,1.44,0.73,0.4,0.01,0.2,0.62,0.18,31.27,-4.72,0.9934285714285718,32
Diane Parry,0.14,0.37,0.61,0.35,-0.21,0.41,0.13,0.06,-0.21,0.06,0.06,3.76,23.36,0.9758,33
Petra Kvitova,0.39,1.12,0.68,0.93,0.93,1.35,0.05,0.44,0.03,0.53,0.21,47.61,-19.12,0.9656976744186045,34
Lucia Bronzetti,0.43,0.2,0.56,0.29,0.46,-0.07,0.81,0.7,0.68,0.67,0.82,-9.75,33.64,0.9473238095238095,35
Claire Liu,0.59,0.27,0.32,0.27,0.26,0.26,0.18,0.38,0.09,0.2,0.15,1.42,21.53,0.9093294117647059,36
Beatriz Haddad Maia,2.29,0.73,1.24,1.13,0.99,1.8,0.94,0.49,0.59,0.39,0.66,-1.82,21.24,0.8823818181818179,37
Diana Shnaider,0.05,0.18,0.43,0.17,-0.11,0.19,0.13,0.9,0.97,0.99,0.63,-5.87,24.75,0.876740740740741,38
Paula Badosa,-0.67,1.29,1.03,1.0,1.15,1.63,0.87,0.72,0.95,0.3,0.76,27.55,-10.89,0.8671851851851855,39
Barbora Krejcikova,0.03,1.3,0.63,0.91,0.81,1.38,0.77,0.57,0.83,1.26,0.67,17.31,-3.76,0.8558000000000003,40
Bianca Andreescu,0.69,0.32,0.68,0.53,0.8,0.54,0.01,0.2,-0.36,0.43,0.09,-0.94,14.69,0.8436774193548389,41
Xiyu Wang,0.68,0.78,0.3,0.8,0.86,0.67,0.06,0.29,0.05,0.05,0.08,33.0,-17.55,0.7958000000000003,42
Jelena Ostapenko,0.15,0.98,0.29,0.61,0.55,0.88,0.63,0.99,1.26,0.82,0.87,27.87,-14.55,0.7514203389830514,43
Ashlyn Krueger,1.07,1.23,0.54,0.95,-0.55,1.37,0.66,0.09,0.13,-0.35,0.3,-0.45,12.73,0.7378,44
Linda Noskova,0.45,1.25,0.43,1.11,1.39,1.42,-0.15,0.47,0.25,1.12,0.19,17.1,-7.36,0.7293435897435896,45
Nao Hibino,1.12,-1.5,0.76,-0.68,-0.48,-0.96,-0.65,0.68,0.07,1.47,-0.2,-19.91,30.08,0.7268380952380953,46
Yulia Putintseva,1.65,-0.03,0.24,0.44,0.85,0.28,0.69,0.45,0.42,0.39,0.64,-24.46,33.41,0.7121555555555554,47
Jasmine Paolini,1.71,0.03,1.37,0.39,0.5,0.26,0.88,0.32,0.59,0.32,0.56,-27.08,35.67,0.6904297872340426,48
Kayla Day,-0.27,0.09,-0.3,-0.19,0.61,-0.29,-0.2,-0.66,-0.88,-0.17,-0.38,-7.21,13.36,0.6837111111111112,49
