player,perc_1st_serve,perc_1st_serve_points_won,perc_2nd_serve_points_won,perc_service_games_won,avg_aces__match,avg_double_faults_match,perc_1st_serve_return_points_won,perc_2nd_serve_return_points_won,perc_return_games_won,perc_break_points_converted,perc_break_points_saved,perc_tie_breaks_won,perc_deciding_sets_won,Score,Ranking
John Isner,0.9534883720930233,0.9767441860465116,0.7790697674418605,0.9767441860465116,42.63953488372093,0.4418604651162791,0.0,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.9418604651162791,0.8372093023255814,0.5581395348837209,11.004799999999998,1
Reilly Opelka,0.686046511627907,0.9651162790697675,0.9883720930232558,0.9651162790697675,35.54651162790697,1.1511627906976745,0.023255813953488372,0.03488372093023256,0.023255813953488372,0.03488372093023256,0.9651162790697675,0.43023255813953487,0.8953488372093024,8.0796,2
Nick Kyrgios,0.9418604651162791,0.9418604651162791,0.9534883720930233,0.9883720930232558,44.627906976744185,0.03488372093023256,0.20930232558139536,0.18604651162790697,0.27906976744186046,0.8372093023255814,0.9883720930232558,0.6627906976744186,0.872093023255814,7.514399999999999,3
Hubert Hurkacz,0.4883720930232558,0.8837209302325582,0.9186046511627907,0.9534883720930233,29.372093023255815,1.802325581395349,0.23255813953488372,0.18604651162790697,0.1744186046511628,0.26744186046511625,0.9302325581395349,0.3488372093023256,0.686046511627907,7.0378,4
Matteo Berrettini,0.5348837209302325,0.8953488372093024,0.5697674418604651,0.9186046511627907,31.96511627906977,1.5930232558139534,0.4069767441860465,0.06976744186046512,0.1744186046511628,0.20930232558139536,0.9186046511627907,0.8604651162790697,0.7790697674418605,6.367600000000001,5
Nicolas Jarry,0.5930232558139535,0.9883720930232558,0.1744186046511628,0.8953488372093024,36.96511627906977,1.2790697674418605,0.011627906976744186,0.0,0.0,0.0,0.7558139534883721,0.313953488372093,0.023255813953488372,6.0434,6
Taylor Fritz,0.3372093023255814,0.7790697674418605,0.6744186046511628,0.7674418604651163,31.348837209302324,3.2674418604651163,0.5116279069767442,0.8255813953488372,0.6976744186046512,0.27906976744186046,0.5465116279069767,0.7093023255813954,0.6744186046511628,5.2944,7
Marin Cilic,0.11627906976744186,0.9186046511627907,0.5581395348837209,0.8488372093023255,41.593023255813954,0.313953488372093,0.6744186046511628,0.5232558139534884,0.5581395348837209,0.3372093023255814,0.8488372093023255,0.43023255813953487,0.27906976744186046,5.203,8
Arthur Rinderknech,0.7906976744186046,0.7209302325581395,0.12790697674418605,0.7441860465116279,26.290697674418606,4.151162790697675,0.046511627906976744,0.08139534883720931,0.08139534883720931,0.08139534883720931,0.8255813953488372,0.6627906976744186,1.1511627906976745,5.066999999999999,9
Felix Auger-Aliassime,0.6162790697674418,0.8488372093023255,0.3023255813953488,0.8604651162790697,38.81395348837209,-1.0,0.6976744186046512,0.2441860465116279,0.38372093023255816,0.2441860465116279,0.8837209302325582,0.7790697674418605,0.6395348837209303,5.0004,10
Alexander Bublik,0.13953488372093023,0.9186046511627907,0.0,0.5697674418604651,59.54651162790697,-4.813953488372093,0.6395348837209303,0.10465116279069768,0.313953488372093,0.5232558139534884,0.6046511627906976,0.43023255813953487,0.6627906976744186,4.338000000000001,11
